company,email,country,industry
Paystack,jobs@paystack.com,Nigeria,Fintech
Flutterwave,careers@flutterwave.com,Nigeria,Fintech
Kuda Bank,hello@kuda.com,Nigeria,Fintech
PiggyVest,hello@piggyvest.com,Nigeria,Fintech
Cowrywise,hello@cowrywise.com,Nigeria,Fintech
Carbon,hello@getcarbon.co,Nigeria,Fintech
Risevest,hello@rise.capital,Nigeria,Fintech
OPay,support@opay.com,Nigeria,Fintech
PalmPay,support@palmpay-inc.com,Nigeria,Fintech
FairMoney,hello@fairmoney.io,Nigeria,Fintech
Branch Nigeria,support.ng@branch.co,Nigeria,Fintech
Moniepoint,hello@moniepoint.com,Nigeria,Fintech
TeamApt,careers@teamapt.com,Nigeria,Fintech
Paga,info@mypaga.com,Nigeria,Fintech
Interswitch,careers@interswitchgroup.com,Nigeria,Fintech
Brass,hello@trybrass.com,Nigeria,Fintech
Prospa,hello@prospa.co,Nigeria,Fintech
Duplo,hello@tryduplo.com,Nigeria,Fintech
Anchor,hello@getanchor.co,Nigeria,Fintech
Sudo Africa,hello@sudo.africa,Nigeria,Fintech
Bloc,hello@bloc.money,Nigeria,Fintech
Lenco,hello@lenco.co,Nigeria,Fintech
Raven Bank,hello@ravenbank.app,Nigeria,Fintech
Nomba,hello@nomba.com,Nigeria,Fintech
Mono,hello@mono.co,Nigeria,Fintech
Termii,hello@termii.com,Nigeria,Fintech
Stitch Money,hello@stitch.money,Nigeria,Fintech
Bankly,hello@bankly.ng,Nigeria,Fintech
CredPal,hello@credpal.com,Nigeria,Fintech
Mines.io,hello@mines.io,Nigeria,Fintech
Lidya,hello@lidya.com,Nigeria,Fintech
Indicina,hello@indicina.co,Nigeria,Fintech
Buypower,hello@buypower.ng,Nigeria,Fintech
VFD Group,info@vfd.ng,Nigeria,Fintech
Baxi,support@baxi.ng,Nigeria,Fintech
Payarena,support@payarena.com,Nigeria,Fintech
9PSB,info@9psb.com.ng,Nigeria,Fintech
Zedcrest,info@zedcrest.com,Nigeria,Fintech
Patricia,support@patricia.com.ng,Nigeria,Fintech
Wema ALAT,alat@wemabank.com,Nigeria,Fintech
Stanbic Digital,digital@stanbicibtc.com,Nigeria,Fintech
Sterling OneBank,onebank@sterling.ng,Nigeria,Fintech
Access Digital,digital@accessbankplc.com,Nigeria,Fintech
GTB Habari,habari@gtbank.com,Nigeria,Fintech
Zenith Digital,digital@zenithbank.com,Nigeria,Fintech
UBA Connect,connect@ubagroup.com,Nigeria,Fintech
Fidelity Digital,digital@fidelitybank.ng,Nigeria,Fintech
Eyowo,hello@eyowo.com,Nigeria,Fintech
Okra,hello@okra.ng,Nigeria,Fintech
Onepipe,hello@onepipe.io,Nigeria,Fintech
Pstache,hello@pstache.co,Nigeria,Fintech
Monnify,hello@monnify.com,Nigeria,Fintech
Remita,info@remita.net,Nigeria,Fintech
eTranzact,info@etranzact.com,Nigeria,Fintech
Quickteller,support@quickteller.com,Nigeria,Fintech
Fliqpay,hello@fliqpay.com,Nigeria,Fintech
Zazpay,hello@zazpay.com,Nigeria,Fintech
Eversend Nigeria,hello.ng@eversend.co,Nigeria,Fintech
Chipper Cash Nigeria,hello.ng@chippercash.com,Nigeria,Fintech
Sendcash,hello@sendcash.africa,Nigeria,Fintech
Grey Finance,hello@grey.finance,Nigeria,Fintech
Cleva,hello@getcleva.com,Nigeria,Fintech
Geegpay,hello@geegpay.com,Nigeria,Fintech
Leatherback,hello@leatherback.co,Nigeria,Fintech
Afriex Nigeria,hello.ng@afriex.co,Nigeria,Fintech
LemFi,hello@lemfi.com,Nigeria,Fintech
Zone,hello@zone.africa,Nigeria,Fintech
Kora,hello@korahq.com,Nigeria,Fintech
Fincra,hello@fincra.com,Nigeria,Fintech
Bani,hello@getbani.com,Nigeria,Fintech
Seerbit,hello@seerbit.com,Nigeria,Fintech
Maplerad,hello@maplerad.com,Nigeria,Fintech
Budpay,hello@budpay.com,Nigeria,Fintech
Glade,hello@glade.ng,Nigeria,Fintech
Payday,hello@usepayday.com,Nigeria,Fintech
Pocket App,hello@pocketapp.com,Nigeria,Fintech
Vella Finance,hello@vellafinance.com,Nigeria,Fintech
Kippa,hello@kippa.africa,Nigeria,Fintech
Float Finance,hello@floatfinance.co,Nigeria,Fintech
Pade HCM,hello@pade.com,Nigeria,Fintech
Workpay Nigeria,hello.ng@workpay.africa,Nigeria,Fintech
Earnipay,hello@earnipay.com,Nigeria,Fintech
Salad Africa,hello@salad.africa,Nigeria,Fintech
Amplify Pay,hello@amplifypay.com,Nigeria,Fintech
Lazerpay,hello@lazerpay.io,Nigeria,Fintech
Koinz Nigeria,hello.ng@koinz.me,Nigeria,Fintech
Payvry,hello@payvry.com,Nigeria,Fintech
Fuspay,hello@fuspay.com,Nigeria,Fintech
Nairagram,hello@nairagram.com,Nigeria,Fintech
SendNG,hello@send.ng,Nigeria,Fintech
Paytyme,hello@paytyme.com,Nigeria,Fintech
Bankease,hello@bankease.ng,Nigeria,Fintech
Cashtoken,info@cashtoken.ng,Nigeria,Fintech
Smartcash,info@smartcash.com.ng,Nigeria,Fintech
Zippyment,hello@zippyment.com,Nigeria,Fintech
Credsy,hello@credsy.ng,Nigeria,Fintech
Precium,hello@precium.ng,Nigeria,Fintech
Migo Money,hello@migo.money,Nigeria,Fintech
Traction Apps,hello@tractionapps.co,Nigeria,Fintech
Bumpa Finance,finance@bumpa.shop,Nigeria,Fintech
Trove Finance,hello@troveapp.co,Nigeria,Fintech
Bamboo Invest,hello@investbamboo.com,Nigeria,Fintech
Chaka,hello@chaka.ng,Nigeria,Fintech
Vest Africa,hello@vest.africa,Nigeria,Fintech
Halo Invest,hello@haloinvest.co,Nigeria,Fintech
Afrinvest Digital,digital@afrinvest.com,Nigeria,Fintech
ARM Digital,digital@arm.com.ng,Nigeria,Fintech
Meristem Digital,digital@meristem.com,Nigeria,Fintech
Stanbic Wealth,wealth@stanbicibtc.com,Nigeria,Fintech
Coronation Digital,digital@coronationmb.com,Nigeria,Fintech
Chapel Hill Denham,info@chapelhilldenham.com,Nigeria,Fintech
CardinalStone Digital,digital@cardinalstone.com,Nigeria,Fintech
FCMB Digital,digital@fcmb.com,Nigeria,Fintech
Heritage Digital,digital@heritagebankplc.com,Nigeria,Fintech
Keystone Digital,digital@keystonebankng.com,Nigeria,Fintech
Providus Digital,digital@providusbank.com,Nigeria,Fintech
Titan Trust Digital,digital@titantrust.bank,Nigeria,Fintech
SunTrust Digital,digital@suntrustng.com,Nigeria,Fintech
Parallex Digital,digital@parallexbank.com,Nigeria,Fintech
Globus Digital,digital@globusbank.com,Nigeria,Fintech
Signature Digital,digital@signaturebank.ng,Nigeria,Fintech
Premium Trust Digital,digital@premiumtrustbank.com,Nigeria,Fintech
Andela,talent@andela.com,Nigeria,Tech/Software
Softcom,info@softcom.ng,Nigeria,Tech/Software
SystemSpecs,info@systemspecs.com.ng,Nigeria,Tech/Software
Inlaks,info@inlaks.com,Nigeria,Tech/Software
MainOne,info@mainone.net,Nigeria,Tech/Software
Spectranet,care@spectranet.com.ng,Nigeria,Tech/Software
Smile Communications,care@smile.com.ng,Nigeria,Tech/Software
CWG Plc,info@cwg-plc.com,Nigeria,Tech/Software
Zinox Technologies,info@zinoxtech.com,Nigeria,Tech/Software
Chams Mobile,info@chamsmobile.com,Nigeria,Tech/Software
Terragon Group,info@terragongroup.com,Nigeria,Tech/Software
Whogohost,support@whogohost.com,Nigeria,Tech/Software
Qservers,support@qservers.net,Nigeria,Tech/Software
DomainKing,support@domainking.ng,Nigeria,Tech/Software
Rack Centre,info@rackcentre.com,Nigeria,Tech/Software
Cybervergent,info@cybervergent.com,Nigeria,Tech/Software
Seamfix,info@seamfix.com,Nigeria,Tech/Software
Youverify,hello@youverify.co,Nigeria,Tech/Software
Identitypass,hello@myidentitypass.com,Nigeria,Tech/Software
Dojah,hello@dojah.io,Nigeria,Tech/Software
Smile ID,hello@smileidentity.com,Nigeria,Tech/Software
Prembly,hello@prembly.com,Nigeria,Tech/Software
Truestamp,hello@truestamp.ng,Nigeria,Tech/Software
Kloverharris,info@kloverharris.com,Nigeria,Tech/Software
Workbrook,info@workbrook.com,Nigeria,Tech/Software
GetEquity,hello@getequity.io,Nigeria,Tech/Software
HoaQ,hello@hoaq.com,Nigeria,Tech/Software
Ventures Platform,hello@venturesplatform.com,Nigeria,Tech/Software
Microtraction,hello@microtraction.com,Nigeria,Tech/Software
Founders Factory Africa,info@foundersfactory.africa,Nigeria,Tech/Software
Co-Creation Hub,info@cchubnigeria.com,Nigeria,Tech/Software
Wennovation Hub,info@wennovationhub.org,Nigeria,Tech/Software
Itanna,hello@itanna.io,Nigeria,Tech/Software
Helicarrier,hello@helicarrier.co,Nigeria,Tech/Software
Proware Tech,info@prowaretechnologies.com,Nigeria,Tech/Software
Websoft,info@websoft.ng,Nigeria,Tech/Software
Printivo,hello@printivo.com,Nigeria,Tech/Software
Deimos,info@deimos.com.ng,Nigeria,Tech/Software
Venia Business,info@veniabusiness.com,Nigeria,Tech/Software
Touchcore,info@touchcore.com.ng,Nigeria,Tech/Software
Fero Mobile,info@feromobile.com,Nigeria,Tech/Software
Softlearn,info@softlearn.ng,Nigeria,Tech/Software
Seamhealth,hello@seamhealth.com,Nigeria,Tech/Software
Byteworks,info@byteworks.com.ng,Nigeria,Tech/Software
Interswitch Tech,tech@interswitchgroup.com,Nigeria,Tech/Software
eProcess International,info@eprocessng.com,Nigeria,Tech/Software
Infostrategy Tech,info@infostrategytechnology.com,Nigeria,Tech/Software
Medallion Comms,info@medallion.com.ng,Nigeria,Tech/Software
Internet Solutions Nigeria,info@is.co.za,Nigeria,Tech/Software
Roke Telkom,info@roke.com.ng,Nigeria,Tech/Software
Ntel,info@ntel.com.ng,Nigeria,Tech/Software
IHS Towers,info@ihstowers.com,Nigeria,Tech/Software
American Tower Nigeria,info.ng@americantower.com,Nigeria,Tech/Software
Helios Towers Nigeria,info.ng@heliostowers.com,Nigeria,Tech/Software
MTN Nigeria,careers@mtnnigeria.net,Nigeria,Tech/Software
Airtel Nigeria,careers.ng@airtel.com,Nigeria,Tech/Software
Glo Nigeria,careers@gloworld.com,Nigeria,Tech/Software
9mobile,careers@9mobile.ng,Nigeria,Tech/Software
Ntel Nigeria,careers@ntel.com.ng,Nigeria,Tech/Software
Spectranet Career,careers@spectranet.com.ng,Nigeria,Tech/Software
Ipnx Nigeria,info@ipnxnigeria.net,Nigeria,Tech/Software
WifiCity,info@wificityng.com,Nigeria,Tech/Software
TechQuest Academy,info@techquestacademy.com,Nigeria,Tech/Software
Interswitch Academy,academy@interswitchgroup.com,Nigeria,Tech/Software
Data Science Nigeria,info@datasciencenigeria.org,Nigeria,Tech/Software
